#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
18.0,18,254.359957
19.0,19,254.374197
29.0,29,254.400033
20.0,20,254.416832
55.0,55,254.461785
37.0,37,254.504109
20.0,20,254.519593
73.0,73,254.57846
66.0,66,254.630328
58.0,58,254.675667
57.0,57,254.720149
10.0,10,254.728547
28.0,28,254.750931
19.0,19,254.763386
39.0,39,254.796409
33.0,33,254.822125
137.0,137,254.936416
39.0,39,254.971534
14.0,14,254.983726
42.0,42,255.015
60.0,60,255.062664
30.0,30,255.088104
21.0,21,255.1046
20.0,20,255.120578
17.0,17,255.134074
16.0,16,255.147387
45.0,45,255.182589
26.0,26,255.20209
28.0,28,255.225817
65.0,65,255.280543
36.0,36,255.310743
18.0,18,255.326635
35.0,35,255.357219
30.0,30,255.379994
31.0,31,255.405995
24.0,24,255.4257
38.0,38,255.459353
53.0,53,255.511775
44.0,44,255.551663
24.0,24,255.571009
11.0,11,255.577966
18.0,18,255.595487
42.0,42,255.629562
24.0,24,255.648742
17.0,17,255.66459
15.0,15,255.674657
60.0,60,255.722973
22.0,22,255.741658
45.0,45,255.77688
12.0,12,255.786936
30.0,30,255.810998
34.0,34,255.836781
56.0,56,255.881145
20.0,20,255.896993
29.0,29,255.920746
16.0,16,255.93343
19.0,19,255.951002
40.0,40,255.984343
132.0,132,256.09333
40.0,40,256.126627
132.0,132,256.234056
40.0,40,256.267249
40.0,40,256.30256
28.0,28,256.324211
21.0,21,256.341111
82.0,82,256.410666
67.0,67,256.468195
47.0,47,256.504714
35.0,35,256.537834
29.0,29,256.565423
38.0,38,256.597235
29.0,29,256.62047
25.0,25,256.64067
95.0,95,256.71522
14.0,14,256.727195
33.0,33,256.753333
28.0,28,256.774413
16.0,16,256.788206
82.0,82,256.852476
74.0,74,256.912556
19.0,19,256.928688
29.0,29,256.953526
17.0,17,256.966573
16.0,16,256.978888
16.0,16,256.992236
56.0,56,257.036997
9.0,9,257.043864
43.0,43,257.081088
129.0,129,257.1912
95.0,95,257.270897
26.0,26,257.297348
119.0,119,257.393471
24.0,24,257.413754
31.0,31,257.4389
92.0,92,257.517414
12.0,12,257.527038
12.0,12,257.537243
20.0,20,257.553229
68.0,68,257.617837
55.0,55,257.664179
33.0,33,257.688393
111.0,111,257.783969
37.0,37,257.814868
