#{"t_start": 1760716355.7330248, "env_id": "CartPole-v1"}
r,l,t
500.0,500,660.092325
500.0,500,661.612435
500.0,500,661.982618
500.0,500,662.395132
500.0,500,662.789136
500.0,500,664.42211
500.0,500,664.798898
500.0,500,665.1652
500.0,500,665.52693
500.0,500,667.058576
500.0,500,667.425916
500.0,500,667.799638
500.0,500,668.163714
500.0,500,669.821679
500.0,500,670.308431
500.0,500,670.77626
500.0,500,671.261392
500.0,500,673.061219
500.0,500,673.431986
500.0,500,673.790199
500.0,500,674.170115
500.0,500,675.671031
500.0,500,676.033898
500.0,500,676.40993
500.0,500,676.778692
500.0,500,678.331309
500.0,500,678.697585
500.0,500,679.096766
500.0,500,679.559188
500.0,500,681.081734
500.0,500,681.498879
500.0,500,681.885733
500.0,500,682.328882
500.0,500,684.49134
500.0,500,684.879828
500.0,500,685.247291
500.0,500,685.646229
500.0,500,687.168123
500.0,500,687.522286
500.0,500,687.894914
500.0,500,688.262153
500.0,500,688.63693
500.0,500,690.190763
500.0,500,690.558445
500.0,500,690.93091
500.0,500,691.308232
500.0,500,692.867616
500.0,500,693.228928
500.0,500,693.592252
500.0,500,693.967009
500.0,500,696.087708
500.0,500,696.595961
500.0,500,697.10771
500.0,500,697.471403
500.0,500,698.957676
500.0,500,699.334167
500.0,500,699.691758
500.0,500,700.050971
500.0,500,701.615322
500.0,500,701.98092
500.0,500,702.36555
500.0,500,702.728515
500.0,500,704.281096
500.0,500,704.658393
500.0,500,705.053891
500.0,500,705.432362
500.0,500,707.064934
500.0,500,707.568506
500.0,500,708.070885
500.0,500,708.603887
500.0,500,710.362674
500.0,500,710.750431
500.0,500,711.113905
500.0,500,711.472329
